name,times,balance,allPay,invest,y
17379,57,6652,-34367,30000,0
17380,57,10824,-25484,20000,0
17382,43,4688,-9457,0,1
17383,38,8647,-21138,10000,0
17384,51,5175,-20253,20000,1
17385,2,450,-296,0,0
17386,64,13966,-42560,10000,0
17387,54,5774,-37729,30000,0
17388,44,22205,-29424,0,0
17389,71,9338,-33178,25000,0
17390,41,7332,-19702,5000,0
17391,12,3928,-7774,0,0
17393,27,4516,-10013,10000,1
17398,16,4223,-6829,10000,0
17415,48,6135,-19189,10000,1
17432,8,2751,-4490,0,0
17439,12,10391,-11660,0,0
17469,34,4121,-16178,20000,0
17473,7,789,-1810,0,0
17480,9,1029,-1650,2000,0
17484,10,2472,-5660,5000,0
17485,47,21103,-34504,30000,0
17487,55,11906,-23411,20000,0
17495,25,4632,-12711,10000,0
17496,19,14046,-5390,0,1
17499,56,13411,-25490,10000,0
17502,17,4613,-15669,10000,0
17503,49,6415,-23283,20000,0
17507,30,4836,-20198,20000,0
17512,41,5468,-18876,20000,0
17524,1,5586,0,0,0
17528,15,1319,-3625,0,1
17529,91,6914,-48546,45000,0
17532,20,3885,-13996,10000,0
17534,31,5389,-17571,15000,0
17540,59,4528,-31786,21000,0
17549,36,15734,-30665,30000,0
17550,6,1791,-5150,0,0
17552,34,4104,-14800,30000,0
17556,59,19712,-41824,40000,0
17559,18,5516,-12650,0,0
17561,28,6225,-21557,10000,0
17566,49,13514,-29840,20000,0
17580,6,7201,-4472,10000,0
17591,36,11559,-14471,0,0
17599,31,5904,-21760,20000,0
17602,54,5673,-28450,20000,0
17607,64,5224,-32867,40000,0
17614,15,5508,-7790,10000,0
17636,17,6017,-7242,10000,0
17647,62,8310,-30242,30000,0
17654,41,4616,-26033,15000,0
17655,66,9658,-28833,20000,0
17656,32,11223,-23224,20000,0
17659,14,6730,-13850,30000,0
17661,23,3642,-10867,10000,0
17662,36,6024,-15397,15000,0
17667,7,7434,-5700,10000,0
17669,11,11439,-6190,0,0
17670,17,5248,-15030,10000,0
17671,49,16212,-25932,20000,0
17694,52,5550,-37990,35000,0
17710,4,152,-410,0,0
17719,12,4469,-10780,0,0
17723,3,2460,-3900,5000,0
17728,48,7321,-28450,15000,0
17732,11,2878,-9670,5000,0
17733,18,10650,-16220,0,0
17734,51,4824,-24157,20000,0
17735,21,11583,-15070,0,0
17737,13,5116,-8786,10000,0
17739,38,5218,-20004,20000,0
17749,69,8169,-36027,30000,0
17750,18,3267,-8142,5000,0
17755,29,5374,-18941,20000,0
17769,56,10053,-38330,40000,0
17771,83,3865,-24303,40000,1
17777,58,7231,-36082,30000,0
17780,53,13799,-22597,20000,0
17782,26,11232,-13172,0,0
17788,17,2272,-7650,6000,0
17790,18,7074,-7700,10000,0
17792,31,4816,-27101,22000,0
17793,46,6398,-18546,15000,0
17794,46,4333,-26455,50000,0
17796,15,3385,-8754,0,0
17797,64,5555,-15970,20000,1
17800,13,4537,-10100,10000,0
17802,40,15154,-18878,10000,0
17803,73,4109,-22031,19000,1
17804,54,10080,-28310,30000,0
17805,46,12019,-24620,20000,0
17806,58,3974,-28576,31000,0
17807,39,10757,-21021,23000,0
17808,32,8780,-22062,10000,0
17809,50,14239,-21437,0,0
17811,34,18057,-24603,20000,0
17813,4,1313,-1440,0,0
17814,25,3913,-13218,10000,0
17816,32,5820,-21834,10000,0
17817,14,3075,-6490,0,0
17818,48,4764,-25533,15000,0
17819,40,4471,-20029,20000,0
17820,59,3716,-30150,60000,0
17821,23,6142,-12613,0,0
17823,48,8760,-26909,30000,0
17824,23,13054,-13283,0,0
17828,45,7440,-20972,20000,0
17830,27,8989,-29000,20000,0
17831,8,5596,-8330,10000,0
17832,43,4800,-25264,18000,0
17833,14,3528,-7031,0,0
17834,13,11848,-11550,0,0
17835,32,10753,-40692,40000,0
17836,43,12194,-30874,20000,0
17838,17,3386,-8564,0,0
17840,11,4186,-9090,9000,0
17841,20,4307,-9741,10000,0
17842,13,6166,-10700,0,0
17845,62,12267,-33516,20000,0
17846,18,4274,-20430,10000,0
17848,53,13609,-33031,5000,0
17849,38,6834,-23658,37000,0
17851,36,5712,-23346,20000,0
17867,58,5560,-30245,30000,0
17868,46,5243,-28050,20000,0
17869,32,4266,-17298,10000,0
17870,62,13486,-29665,0,0
17873,43,6627,-25671,10000,0
17875,41,6368,-23076,20000,0
17876,66,10027,-39166,35000,0
17877,54,10354,-24156,30000,0
17879,57,4304,-20069,10000,1
17881,42,8327,-22482,18500,0
17883,35,9228,-22113,5000,0
17884,7,2875,-6050,7000,0
17885,47,11359,-25656,20000,0
17887,3,863,-130,0,0
17892,39,3903,-21480,19000,0
17894,20,4385,-12257,5000,0
17895,63,6769,-25733,30000,0
17896,5,697,-2366,0,0
17897,11,5755,-8108,10000,0
17924,11,6209,-7700,10000,0
17928,14,5114,-10320,10000,0
17931,27,16375,-9569,0,1
17932,27,4423,-17274,10000,0
17933,68,8950,-30819,30000,0
17936,45,8871,-25013,16000,0
17939,2,133,-90,0,0
17966,12,5403,-4455,10000,1
17967,14,4265,-10140,0,0
17977,57,14497,-25996,20000,0
17980,103,10967,-31946,20000,1
17986,55,12516,-41260,40000,0
18052,23,5125,-17360,14000,0
18079,26,5304,-17795,10000,0
18080,35,12085,-25486,20000,0
18081,16,1768,-5484,7000,1
18082,22,6008,-18140,20000,0
18084,4,524,-831,0,0
18085,43,11866,-27120,30000,0
18087,41,4879,-23730,25000,0
18092,60,9992,-17113,0,1
18093,58,3950,-34716,65000,0
18095,29,4336,-10809,25000,1
18096,44,15696,-25269,500,0
18097,2,309,-570,0,0
18098,51,11422,-28269,40000,0
18099,64,7115,-30993,30000,0
18100,29,3495,-13970,14000,0
18101,73,9885,-26883,20000,1
18103,35,10679,-16569,0,0
18106,61,17673,-23830,0,1
18107,21,7006,-11040,0,0
18108,27,3409,-14405,11000,0
18109,54,12140,-35307,40000,0
18119,41,18526,-20499,0,0
18123,47,8432,-11799,10000,1
18125,4,2914,-4397,5000,0
18126,16,2476,-6980,7000,0
18127,51,9467,-21414,20000,0
18130,34,11308,-19778,20000,0
18131,11,9399,-8320,0,0
18139,32,4801,-20924,10000,0
18142,37,9627,-24617,25000,0
18143,54,3602,-16724,18000,1
18145,47,39923,-26667,100000,0
18166,64,5371,-25664,15000,0
18168,53,11748,-45139,40000,0
18170,26,7874,-18711,0,0
18171,46,9295,-36939,30000,0
18172,46,5513,-24526,20000,0
18174,27,11385,-17854,20000,0
18175,69,5592,-23700,25000,1
18176,36,6845,-24980,25000,0
18177,21,9391,-15645,0,0
18179,21,4610,-16210,10000,0
18180,66,6395,-33487,30000,0
18182,24,3753,-14454,5000,0
18183,43,4650,-26190,25000,0
18184,25,6261,-10616,10000,0
18185,15,2835,-5890,0,1
18187,19,8146,-12250,10000,0
18188,37,7617,-25865,25000,0
18189,36,5205,-23415,20000,0
18190,36,7448,-26465,30000,0
18191,28,4861,-15050,10000,0
18192,61,6027,-44020,40000,0
18193,33,8035,-26074,20000,0
18194,32,6180,-18648,0,0
18195,8,806,-1100,0,0
18196,34,4653,-12399,10000,1
18198,16,4397,-11000,10000,0
18200,52,8947,-36120,30000,0
18201,30,7345,-16593,10000,0
18202,42,10025,-20684,10000,0
18203,38,5652,-12211,10000,1
18206,51,8042,-30450,30000,0
18207,23,20529,-27000,0,0
18208,31,5705,-23820,10000,0
18209,14,13759,-11217,20000,0
18211,26,4324,-12610,5000,0
18212,35,4004,-18205,17000,0
18214,32,3505,-18344,30000,0
18217,37,8898,-23327,20000,0
18225,68,7901,-31302,34000,0
18226,45,7549,-23839,10000,0
18227,22,5085,-10311,10000,0
18229,29,2573,-5099,0,1
18230,35,9766,-30564,30000,0
18231,45,4280,-17153,10000,1
18233,59,5114,-30389,31000,0
18235,18,3817,-5388,0,1
18251,54,3412,-32726,55000,0
18252,21,6291,-8792,10000,0
18253,26,4357,-15280,10000,0
18255,24,3424,-13430,7000,0
18259,55,9745,-22287,30000,0
18260,54,9258,-30931,30000,0
18261,37,4610,-22550,20000,0
18263,47,8539,-34365,30000,0
18264,22,2701,-11970,6000,0
18270,37,4472,-20711,15000,0
18271,58,8820,-39435,20000,0
18272,57,6867,-26700,30000,0
18274,56,9052,-32982,40000,0
18275,15,9632,-10670,15000,0
18276,47,5807,-26467,15000,0
18277,48,11600,-26785,20000,0
18278,48,8631,-29450,30000,0
18280,104,5628,-48577,50000,0
18287,50,4331,-21606,16000,0
18291,19,6281,-9117,0,0
18313,79,5322,-36132,40000,0
18317,65,3505,-35945,75000,0
18320,67,8495,-43913,40000,0
18321,44,11780,-37130,40000,0
18322,12,9611,-8080,0,0
18323,15,7718,-5859,10000,1
18327,71,13016,-41634,25000,0
18328,36,4845,-20865,20000,0
18329,44,8395,-38370,30000,0
18331,25,5771,-9841,10000,1
18332,13,6922,-7097,10000,0
18334,62,3856,-35544,70000,0
18336,12,3882,-9298,0,0
18337,29,11791,-17759,0,0
18338,42,13506,-23786,14000,0
18339,35,3784,-18233,15000,0
18340,36,23757,-19054,0,0
18341,41,5122,-23322,20000,0
18342,65,16311,-34500,10000,0
18354,50,5330,-16640,14000,1
18355,5,521,-523,0,0
18357,13,6994,-9470,10000,0
18359,74,11834,-32087,10000,0
18360,33,4338,-16433,20000,0
18362,26,14263,-18907,30000,0
18364,36,11899,-23776,20000,0
18365,31,5124,-17333,20000,0
18366,38,7212,-16278,20000,0
18376,25,3834,-17348,15000,0
18377,42,10357,-28810,25000,0
18378,1,142,-300,0,0
18379,45,7633,-28442,10000,0
18380,42,25861,-29169,0,0
18381,25,7619,-11093,0,0
18384,51,15333,-29535,30000,0
18385,62,7634,-34957,20000,0
18386,35,5596,-20365,10000,0
18388,71,9129,-37746,20000,0
18389,25,8830,-12667,0,0
18392,41,5316,-21176,10000,0
18395,37,7471,-23500,6000,0
18399,38,4913,-15297,16000,0
18400,69,12123,-33008,20000,0
18401,53,8183,-24838,23000,0
18404,65,8170,-41330,35000,0
18405,20,9748,-13080,15000,0
18407,57,3763,-25414,25000,0
18409,17,5559,-14694,10000,0
18413,10,1028,-3518,2000,0
18416,30,11947,-21507,20000,0
18419,53,3799,-14629,10000,1
18420,33,5071,-16112,15000,0
18422,6,267,-440,0,0
18424,40,4589,-18929,21000,0
18425,35,6075,-21060,20000,0
18426,66,3822,-31828,60000,0
18427,37,3981,-16116,15000,0
18428,77,8420,-38009,40000,0
18430,55,7725,-24111,20000,0
18432,36,6299,-20711,20000,0
18434,77,7613,-39429,30000,0
18435,60,4915,-28766,30000,0
18436,20,6255,-13189,0,0
18437,95,3534,-37615,75000,1
18438,50,7836,-29265,10000,0
18439,31,4397,-18437,12000,0
18441,63,9899,-33633,40000,0
18445,55,8596,-36860,30000,0
18446,44,7587,-26294,25000,0
18451,46,5649,-19117,20000,0
18453,29,1352,-9085,10000,1
18454,49,3894,-26171,25000,0
18455,39,14606,-20494,20000,0
18456,55,10641,-29090,10000,0
18457,47,9730,-31772,30000,0
18459,20,4449,-11910,10000,0
18460,25,5210,-12987,0,0
18465,76,20983,-38687,0,0
18466,35,5982,-19286,30000,0
18467,48,4387,-30950,35000,0
18468,73,13232,-36426,40000,0
18469,72,5092,-28421,15000,1
18472,37,10817,-21260,20000,0
18473,66,11236,-32590,20000,0
18474,76,8098,-29929,30000,1
18475,26,5287,-19340,20000,0
18477,53,7404,-28095,20000,0
18480,49,4318,-25807,23000,0
18481,52,5196,-15754,10000,1
18483,11,2517,-7793,5000,0
18487,64,4325,-27536,18000,0
18489,53,5311,-30760,45000,0
18493,38,5547,-22913,20000,0
18494,38,7816,-19953,10000,0
18500,23,4747,-10810,12000,0
18503,49,8056,-25023,20000,0
18524,9,2999,-9120,2000,0
18528,46,4843,-22947,20000,0
18532,20,1809,-8212,6000,0
18534,39,16259,-24732,30000,0
18546,17,3832,-12396,10000,0
